Player,games_played,team,PTS,AST,STL,BLK,FG%,3P%,TRB,Tm,W,W/L%,seed,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player
Giannis Antetokounmpo,34,milwaukee bucks,28.41176470588235,6.0,1.0588235294117647,1.4411764705882353,0.5406698564593302,0.2835820895522388,11.441176470588236,MIL,26,0.605,4,31.7,0.616,0.214,0.569,6.2,30.3,18.5,34.4,1.6,4.4,12.7,34.8,4.5,2.1,6.5,0.284,7.1,3.6,10.8,8.68235294117647
Stephen Curry,36,golden state warriors,26.833333333333332,6.027777777777778,1.4166666666666667,0.5277777777777778,0.42162162162162165,0.3873684210526316,5.333333333333333,GSW,30,0.769,1,22.1,0.592,0.642,0.232,2.1,14.2,8.4,29.5,2.0,1.5,13.2,32.6,2.7,2.3,5.0,0.191,6.2,0.8,7.0,6.605555555555555
DeMar DeRozan,34,chicago bulls,26.352941176470587,4.705882352941177,0.8529411764705882,0.35294117647058826,0.4908814589665654,0.352112676056338,5.0,CHI,26,0.703,1,23.0,0.579,0.108,0.401,2.3,13.4,7.9,22.8,1.2,0.9,8.5,31.2,3.3,1.0,4.3,0.174,3.1,-0.9,2.2,3.1352941176470592
Kevin Durant,34,brooklyn nets,29.823529411764707,5.764705882352941,0.7352941176470589,0.9705882352941176,0.5175808720112518,0.3620689655172414,7.705882352941177,BKN,25,0.641,2,25.6,0.621,0.245,0.339,1.7,19.4,10.9,27.4,0.9,2.3,11.4,31.4,4.0,1.5,5.5,0.209,6.3,0.6,6.9,6.9941176470588236
Joel Embiid,28,philadelphia 76ers,26.964285714285715,4.357142857142857,1.1428571428571428,1.4285714285714286,0.47808764940239046,0.38461538461538464,10.642857142857142,PHI,23,0.59,5,29.6,0.597,0.181,0.588,6.5,28.7,17.8,23.8,1.7,4.0,11.1,34.7,3.1,1.6,4.6,0.241,6.3,1.7,8.0,6.735714285714286
Rudy Gobert,37,utah jazz,15.513513513513514,1.054054054054054,0.7837837837837838,2.27027027027027,0.7062937062937062,0.0,15.054054054054054,UTA,28,0.683,3,25.2,0.726,0.003,0.871,12.5,37.2,25.4,4.7,1.2,6.0,14.5,16.8,4.3,2.5,6.8,0.274,3.2,2.1,5.2,4.8756756756756765
LeBron James,29,los angeles lakers,28.896551724137932,6.620689655172414,1.7241379310344827,1.1379310344827587,0.5278246205733558,0.37168141592920356,7.448275862068965,LAL,21,0.512,7,27.5,0.63,0.381,0.275,3.3,17.7,10.7,32.1,2.2,2.8,12.6,30.5,3.5,1.5,4.9,0.221,7.1,1.5,8.7,8.2
Nikola Jokic,33,denver nuggets,25.848484848484848,6.96969696969697,1.3636363636363635,0.8181818181818182,0.5606060606060606,0.3546099290780142,14.181818181818182,DEN,20,0.526,6,32.4,0.634,0.237,0.3,9.4,38.2,24.0,40.8,2.1,2.3,15.0,32.6,4.1,2.1,6.2,0.275,8.9,4.5,13.4,10.436363636363637
Ja Morant,29,memphis grizzlies,24.724137931034484,6.655172413793103,1.3793103448275863,0.41379310344827586,0.48987108655616945,0.38333333333333336,5.724137931034483,MEM,28,0.667,4,25.2,0.576,0.221,0.333,4.2,14.8,9.4,35.0,2.1,1.2,12.9,31.9,2.6,1.0,3.6,0.184,6.3,0.0,6.2,5.372413793103448
Chris Paul,39,phoenix suns,13.974358974358974,10.0,1.8717948717948718,0.2564102564102564,0.4722222222222222,0.3275862068965517,4.384615384615385,PHO,30,0.769,2,20.2,0.563,0.269,0.275,1.2,12.8,7.1,43.2,2.8,0.7,15.7,19.6,3.2,2.2,5.4,0.206,2.4,2.1,4.4,4.205128205128204
